time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-30 20:15:35.369050,metric,51,561,241,0,0,0,0,0,0,0,0,0,1usec,218usec,159.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 20:15:36.368941,metric,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,66usec,203.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 20:15:37.369039,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,23usec,321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30 20:15:38.368946,metric,51,1400,600,1,0,0,0,0.00786,0.0117,0,0,1,4usec,35usec,476.0,6.0kbps,38kbps,4.5ms,5.5ms,4ms,0x4601,472.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,7,7.0kbps,11,0,0%,0,67,0,28.0,-3.8,1,25,39kbps,6,0,0%,71,0,5,0,0,0,0,0,0,386ns,n/a,25,4.67ms,5.5ms,4.5ms,n/a,n/a,4ms
2025-07-30 20:15:39.369000,metric,51,1400,600,0,0,0,1,0.0107,0.117,0,0,1,8usec,43usec,516.0,17kbps,1.1Mbps,4.5ms,4.5ms,4.5ms,0x4601,512.1,ue_reconf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,17,17kbps,14,0,0%,3,71,0.011000001,32.3,-4.1,1,27,1.1Mbps,70,0,0%,1104,1.53k,5,0,0,0,0,0,0,189ns,n/a,19,4.49ms,4.5ms,4.46ms,4.08ms,4.5ms,4.2ms
2025-07-30 20:15:40.369020,metric,51,1400,600,0,0,0,2,0.0107,0.167,0,0,1,9usec,37usec,630.15,29kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,15,1.0,27,30kbps,16,0,0%,0,30,0.011000001,32.4,-4.0,1,27,1.6Mbps,100,0,0%,1664,2.01k,0,0,0,0,0,0,0,168ns,n/a,19,4.5ms,4.5ms,4.48ms,4.27ms,4.5ms,n/a
2025-07-30 20:15:41.369000,metric,51,1400,600,0,0,0,2,0.00714,0.167,0,0,1,9usec,43usec,792.15,18kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,15,1.0,27,19kbps,10,0,0%,0,20,0.011000001,32.4,-4.0,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,0,187ns,n/a,20,4.5ms,4.5ms,4.49ms,4.3ms,4.5ms,n/a
2025-07-30 20:15:42.369120,metric,51,1400,600,0,0,16,2,0.352,0.167,0,0,1,12usec,46usec,869.3,19Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,19Mbps,476,8,1%,175k,22998,0.008,32.5,-4.1,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,0,219ns,n/a,19,4.5ms,4.5ms,4.45ms,4.12ms,4.5ms,3.98ms
2025-07-30 20:15:43.369023,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,53usec,921.16,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,527k,68988,0.008,32.4,-4.1,1,27,1.6Mbps,100,0,0%,1665,2.01k,0,0,0,0,0,0,0,219ns,n/a,19,4.5ms,4.5ms,4.47ms,4.03ms,4.5ms,3.96ms
2025-07-30 20:15:44.369068,metric,51,1400,600,0,0,49,2,1,0.167,0,0,1,15usec,61usec,1017.11,58Mbps,1.6Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,27,58Mbps,1400,0,0%,897k,69016,0.008,32.4,-4.1,1,27,1.6Mbps,100,0,0%,1668,2.01k,0,0,0,0,0,0,0,226ns,n/a,19,4.5ms,4.5ms,4.45ms,4.05ms,4.5ms,3.96ms
