# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=50,gain=60,cFreq=3405100000.0,PW=0.00015000000000000001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot
2025-06-05 11:20:34.803614,51,556,240,0,0,0,0,0,0,0,0,0,1usec,208usec,160.5
2025-06-05 11:20:35.803720,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,243.15
2025-06-05 11:20:36.803530,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,346.3
2025-06-05 11:20:37.803673,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,436.6
2025-06-05 11:20:38.803666,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,576.15
2025-06-05 11:20:39.803599,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,22usec,671.5
2025-06-05 11:20:40.803605,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,713.15
2025-06-05 11:20:41.803624,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,889.15
2025-06-05 11:20:42.803628,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,939.15
2025-06-05 11:20:43.803638,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,15.6
2025-06-05 11:20:44.803636,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,138.19
2025-06-05 11:20:45.803719,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,275.11
2025-06-05 11:20:46.803660,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,21usec,279.15
2025-06-05 11:20:47.803639,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,377.6
2025-06-05 11:20:48.803712,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,500.11
2025-06-05 11:20:49.803666,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,597.7
2025-06-05 11:20:50.803730,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,22usec,698.3
2025-06-05 11:20:51.803585,51,1400,600,0,0,0,0,0,0,0,0,0,4usec,21usec,787.6
2025-06-05 11:20:52.803689,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,957.16
2025-06-05 11:20:53.803608,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,30.5
2025-06-05 11:20:54.803687,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,75.7
2025-06-05 11:20:55.803651,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,28usec,231.15
2025-06-05 11:20:56.803584,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,20usec,281.7
2025-06-05 11:20:57.803685,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,387.15
