time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-24 13:15:22.440263,metric,51,561,243,0,0,0,0,0,0,0,0,0,1usec,259usec,159.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:15:23.440336,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,16usec,274.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:15:24.440241,metric,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,15usec,399.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 13:15:25.440315,metric,51,1400,600,1,0,0,0,0.0121,0.0217,0,0,1,6usec,75usec,452.0,12kbps,70kbps,4.5ms,5.5ms,4.5ms,0x4601,407.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,8,13kbps,17,0,0%,0,120,0.003,31.2,-3.5,1,26,71kbps,12,0,0%,107,0,10,0,0,0,0,0,0,313ns,n/a,10,4.58ms,5.5ms,4.42ms,n/a,n/a,4.07ms
2025-07-24 13:15:26.440336,metric,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,7usec,30usec,586.2,6.0kbps,28kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,24,6.6kbps,4,1,20%,0,10,-0.003,35.0,-3.9,1,27,28kbps,5,0,0%,29,0,4,0,0,0,0,0,0,180ns,n/a,8,4.5ms,4.5ms,4.4ms,n/a,n/a,4.06ms
2025-07-24 13:15:27.440277,metric,51,1400,600,0,0,0,1,0.00357,0.0883,0,0,1,8usec,35usec,650.0,8.0kbps,827kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,25,8.7kbps,5,0,0%,0,10,2.3283064e-10,33.7,-4.0,1,27,827kbps,53,0,0%,857,2.01k,3,0,0,0,0,0,0,178ns,n/a,5,4.49ms,4.5ms,4.42ms,4.25ms,4.5ms,4.17ms
2025-07-24 13:15:28.440348,metric,51,1400,600,0,0,0,2,0.00286,0.167,0,0,1,8usec,30usec,708.3,5.0kbps,1.6Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,12,1.0,22,5.9kbps,4,0,0%,0,8,0.0040000007,33.8,-4.1,1,27,1.6Mbps,98,2,2%,1710,2.01k,0,0,0,0,0,0,-0.19800003,218ns,n/a,5,4.5ms,4.5ms,4.47ms,4.38ms,4.5ms,n/a
2025-07-24 13:15:29.440297,metric,51,1400,600,0,0,0,0,0.0271,0.025,0,0,1,8usec,37usec,884.0,679kbps,109kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,23,679kbps,36,1,2%,23.9k,971,0.023000004,34.4,-3.9,1,27,109kbps,15,0,0%,113,384,11,0,0,0,0,0,-0.19800003,212ns,n/a,10,4.5ms,4.5ms,4.37ms,4ms,4ms,3.96ms
2025-07-24 13:15:30.440414,metric,51,1400,600,0,0,15,0,0.364,0.0883,0,0,1,10usec,40usec,973.16,17Mbps,398kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,25,17Mbps,486,19,3%,38k,22068,0.19500023,33.6,-3.5,1,27,399kbps,53,0,0%,411,0,26,0,0,0,0,0,-0.19800003,223ns,n/a,8,4.49ms,4.5ms,4.4ms,4.13ms,4.5ms,3.98ms
2025-07-24 13:15:31.440314,metric,51,1400,600,0,0,42,0,0.88,0.0917,0,0,1,12usec,41usec,63.6,49Mbps,378kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,26,49Mbps,1198,31,2%,329k,59844,0.08499956,34.1,-3.6,1,27,379kbps,55,0,0%,391,0,37,0,0,0,0,0,-0.19800003,224ns,n/a,8,4.46ms,4.5ms,4.2ms,4.05ms,4.5ms,3.93ms
