time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-24 02:08:27.406350,metric,51,560,240,0,0,0,0,0,0,0,0,0,1usec,239usec,160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 02:08:28.406471,metric,51,1400,600,1,0,0,0,0.00143,0.00333,0,0,1,4usec,26usec,300.0,2.0kbps,4.0kbps,4.5ms,4.5ms,4ms,0x4601,295.8,ue_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,8,1.0,18,2.5kbps,1,0,0%,3,25,0,22.7,-6.2,1,9,4.2kbps,1,0,0%,24,0,1,0,0,0,0,0,0,129ns,n/a,11,4.5ms,4.5ms,4.5ms,n/a,n/a,4ms
2025-07-24 02:08:29.406445,metric,51,1400,600,0,0,0,0,0.0107,0.02,0,0,1,6usec,41usec,346.0,10kbps,69kbps,4.5ms,5.5ms,4.5ms,0x4601,300.14,ue_reconf,,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,13,1.0,7,10kbps,16,0,0%,0,95,0.003,30.8,-7.6,1,28,69kbps,12,0,0%,86,0,9,0,0,0,0,0,0,333ns,n/a,15,4.54ms,5.5ms,4.29ms,n/a,n/a,4.11ms
2025-07-24 02:08:30.406445,metric,51,1400,600,0,0,0,1,0.00571,0.1,0,0,1,8usec,30usec,438.16,12kbps,953kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,15,1.0,26,13kbps,7,1,12%,0,16,2.3283064e-10,33.1,-8.0,1,27,953kbps,60,0,0%,988,2.01k,2,0,0,0,0,0,0,226ns,n/a,9,4.49ms,4.5ms,4.47ms,4.12ms,4.5ms,4ms
2025-07-24 02:08:31.406430,metric,51,1400,600,0,0,0,2,0.00214,0.153,0,0,1,8usec,36usec,586.0,3.0kbps,1.5Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,1,4601,14,1.0,25,3.3kbps,2,1,33%,0,6,-0.009000001,33.3,-8.0,1,27,1.5Mbps,92,0,0%,1556,0,0,0,0,0,0,0,0,236ns,n/a,10,4.5ms,4.5ms,4.47ms,4.17ms,4.5ms,n/a
2025-07-24 02:08:32.406425,metric,51,1400,600,0,0,2,0,0.075,0.0367,0,0,1,8usec,29usec,680.0,3.2Mbps,140kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,13,1.0,25,3.2Mbps,104,0,0%,25.3k,3864,0.04699998,32.2,-8.1,1,27,140kbps,22,0,0%,144,1.45k,16,0,0,0,0,0,0,177ns,n/a,15,4.5ms,4.5ms,4.39ms,4.3ms,4.5ms,4.01ms
2025-07-24 02:08:33.406509,metric,51,1400,600,0,0,39,0,0.827,0.13,0,0,1,13usec,40usec,724.15,46Mbps,568kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,46Mbps,1139,11,0%,176k,55035,0.15400009,32.5,-7.9,1,27,568kbps,78,0,0%,586,0,21,0,0,0,0,0,0,173ns,n/a,13,4.49ms,4.5ms,4.28ms,4.03ms,4.5ms,3.95ms
2025-07-24 02:08:34.406433,metric,51,1400,600,0,0,49,0,1,0.122,0,0,1,13usec,42usec,841.10,58Mbps,515kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,58Mbps,1397,3,0%,154k,69174,0.13600008,32.3,-8.0,1,27,516kbps,73,0,0%,532,535,21,0,0,0,0,0,0,180ns,n/a,13,4.46ms,4.5ms,4.21ms,4.03ms,4.5ms,3.95ms
2025-07-24 02:08:35.406397,metric,51,1400,600,0,0,39,0,0.845,0.0983,0,0,1,12usec,36usec,925.16,48Mbps,400kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,48Mbps,1189,0,0%,128k,55978,0.13600008,32.3,-8.0,1,27,400kbps,59,0,0%,413,535,29,0,0,0,0,0,0,190ns,n/a,13,4.48ms,4.5ms,4.31ms,4.04ms,4.5ms,3.96ms
2025-07-24 02:08:36.406479,metric,51,1399,600,0,0,39,0,0.848,0.102,0,0,1,12usec,46usec,14.16,47Mbps,426kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1184,0,0%,136k,55631,0.13600008,32.1,-8.0,1,27,427kbps,60,1,1%,473,0,34,0,0,0,0,0,-0.09800001,203ns,n/a,13,4.45ms,4.5ms,4.24ms,4.07ms,4.5ms,3.96ms
