# iperf3 -p 5201 -c 10.45.0.2 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=3800,gain=55,cFreq=3410100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-07-24 09:50:11.386111,51,575,247,0,0,0,0,0,0,0,0,0,1usec,232usec,158.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 09:50:12.386262,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,17usec,266.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 09:50:13.386316,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,19usec,337.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 09:50:14.386232,51,1400,600,1,0,0,0,0.0114,0.0183,0,0,1,5usec,41usec,488.0,10kbps,60kbps,4.5ms,5.5ms,4.5ms,0x4601,439.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,6,10kbps,16,0,0%,0,117,0.001,30.2,-7.0,1,26,61kbps,10,0,0%,97,0,8,0,0,0,0,0,0,187ns,n/a,11,4.6ms,5.5ms,4.45ms,n/a,n/a,4.18ms,0,4601,-97.0,-10.5,21.5,,,,,
2025-07-24 09:50:15.386268,51,1400,600,0,0,0,0,0.00357,0.00833,0,0,1,8usec,34usec,584.0,6.0kbps,24kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,23,6.0kbps,4,1,20%,0,10,,32.9,-7.2,1,27,24kbps,5,0,0%,25,1.04k,5,0,0,0,0,0,0,200ns,n/a,13,4.5ms,4.5ms,4.3ms,n/a,n/a,4.17ms,0,4601,-97.0,-10.5,21.0,,,,,
2025-07-24 09:50:16.386204,51,1400,600,0,0,0,1,0.00357,0.1,0,0,1,8usec,27usec,652.16,8.0kbps,937kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,14,1.0,25,8.5kbps,5,0,0%,0,10,2.3283064e-10,33.7,-7.5,1,27,938kbps,60,0,0%,972,2.01k,3,0,0,0,0,0,0,218ns,n/a,8,4.5ms,4.5ms,4.44ms,4.25ms,4.5ms,4ms,0,4601,-97.0,-10.5,21.0,,,,,
2025-07-24 09:50:17.386201,51,1400,600,0,0,0,2,0.00143,0.158,0,0,1,8usec,28usec,719.6,3.0kbps,1.5Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,14,1.0,25,3.5kbps,2,0,0%,0,4,2.3283064e-10,33.8,-7.5,1,27,1.6Mbps,95,0,0%,1607,0,0,0,0,0,0,0,0,227ns,n/a,8,4.49ms,4.5ms,4.47ms,4.5ms,4.5ms,n/a,0,4601,-95.0,-10.5,21.5,,,,,
2025-07-24 09:50:18.386251,51,1400,600,0,0,1,0,0.0579,0.0333,0,0,1,8usec,34usec,888.4,2.0Mbps,110kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,25,2.0Mbps,72,8,10%,25.3k,2774,-0.026000053,31.8,-7.3,1,27,111kbps,18,2,10%,160,1.04k,15,0,0,0,0,0,-0.19800003,218ns,n/a,13,4.47ms,4.5ms,4.35ms,4ms,4ms,3.98ms,0,4601,-97.0,-10.5,21.5,6.0,3.21,26.9,0.0,199.0
2025-07-24 09:50:19.386244,51,1400,600,0,0,29,0,0.631,0.102,0,0,1,12usec,40usec,982.13,34Mbps,478kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,34Mbps,864,12,1%,140k,41622,0.13100009,32.6,-7.3,1,27,478kbps,60,1,1%,516,535,28,0,0,0,0,0,-0.29700005,224ns,n/a,12,4.49ms,4.5ms,4.31ms,4.08ms,4.5ms,3.95ms,0,4601,-97.0,-10.5,21.5,6.0,7.25,60.8,0.0,534.0
2025-07-24 09:50:20.386394,51,1400,600,0,0,49,0,1,0.128,0,0,1,13usec,35usec,30.16,58Mbps,534kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,58Mbps,1389,11,0%,428k,69163,0.032000065,32.1,-7.9,1,27,534kbps,76,1,1%,558,384,19,2,0,0,1,0,-0.39600006,229ns,n/a,12,4.43ms,4.5ms,4.23ms,4.01ms,4.5ms,3.95ms,0,4601,-97.0,-10.5,21.5,6.0,5.75,48.2,0.0,810.0
