# iperf3 -p 5201 -c 10.45.0.2 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=4150,gain=50,cFreq=3410100000.0,PW=0.0001,T=20,bw=2000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"debug","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"info","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-07-24 08:34:44.701155,51,563,243,0,0,0,0,0,0,0,0,0,1usec,225usec,159.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 08:34:45.701029,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,18usec,204.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 08:34:46.701085,51,1400,600,0,0,0,0,0,0,0,0,0,3usec,25usec,384.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24 08:34:47.701094,51,1400,600,1,0,0,0,0.0121,0.0217,0,0,1,5usec,39usec,428.0,11kbps,70kbps,4.5ms,5.5ms,4.5ms,0x4601,423.8,ue_create,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,7,11kbps,17,0,0%,0,119,0.002,31.1,-7.1,1,26,71kbps,12,0,0%,107,0,10,0,0,0,0,0,0,201ns,n/a,14,4.58ms,5.5ms,4.33ms,n/a,n/a,4.1ms,0,4601,-96.0,-10.5,22.0,,,,,
2025-07-24 08:34:48.701120,51,1400,600,0,0,0,0,0.00214,0.00333,0,0,1,7usec,26usec,533.11,3.0kbps,9.0kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,13,1.0,26,3.5kbps,2,1,33%,0,6,,33.3,-7.4,1,27,9.7kbps,2,0,0%,10,0,2,0,0,0,0,0,0,209ns,n/a,14,4.5ms,4.5ms,4.25ms,n/a,n/a,4.1ms,0,4601,-94.0,-10.5,22.5,,,,,
2025-07-24 08:34:49.701234,51,1400,600,0,0,0,1,0.00429,0.118,0,0,1,8usec,32usec,689.15,9.0kbps,1.1Mbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,24,9.8kbps,6,0,0%,0,12,2.3283064e-10,33.7,-7.5,1,27,1.1Mbps,71,0,0%,1147,2.01k,4,0,0,0,0,0,0,228ns,n/a,8,4.49ms,4.5ms,4.49ms,4.5ms,4.5ms,4.14ms,0,4601,-95.0,-10.5,22.0,,,,,
2025-07-24 08:34:50.701113,51,1400,600,0,0,0,2,0.00143,0.143,0,0,1,8usec,34usec,761.3,3.0kbps,1.4Mbps,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,4.5ms,,n/a,,,,4601,1,13,1.0,23,3.2kbps,2,0,0%,0,4,0.0010000003,33.8,-7.6,1,27,1.4Mbps,86,0,0%,1442,2.81k,1,0,0,0,0,0,0,236ns,n/a,14,4.5ms,4.5ms,4.47ms,4ms,4ms,n/a,0,4601,-93.0,-10.5,22.5,,,,,
2025-07-24 08:34:51.701183,51,1400,600,0,0,1,0,0.05,0.0333,0,0,1,8usec,34usec,818.15,1.8Mbps,117kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,14,1.0,25,1.8Mbps,69,1,1%,0,2110,0.031000005,31.7,-7.4,1,27,118kbps,19,1,5%,144,0,14,0,0,0,0,0,-0.099000014,233ns,n/a,12,4.5ms,4.5ms,4.43ms,4ms,4ms,4.01ms,0,4601,-97.0,-10.5,21.0,6.0,2.1,17.6,0.0,128.0
2025-07-24 08:34:52.701150,51,1400,600,0,0,20,0,0.461,0.0983,0,0,1,10usec,40usec,945.3,24Mbps,393kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,4601,1,15,1.0,26,24Mbps,627,9,1%,44.4k,28977,0.10500001,32.9,-7.3,1,27,393kbps,59,0,0%,405,0,26,0,0,0,0,0,-0.099000014,195ns,n/a,12,4.48ms,4.5ms,4.31ms,4.04ms,4.5ms,3.96ms,0,4601,-97.0,-10.5,21.5,6.0,6.62,55.6,0.0,434.0
2025-07-24 08:34:53.701221,51,1400,600,0,0,47,0,0.975,0.128,0,0,1,13usec,40usec,72.15,57Mbps,553kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,4601,1,15,1.0,27,57Mbps,1365,0,0%,428k,67158,0.10500001,32.6,-7.3,1,27,553kbps,77,0,0%,570,0,18,0,0,0,0,0,-0.099000014,177ns,n/a,10,4.46ms,4.5ms,4.21ms,4.01ms,4.5ms,3.95ms,0,4601,-97.0,-10.5,21.0,6.0,7.25,60.8,0.0,767.0
